Date,Low,High,Close,Open
"2018-12-31 23:00:00",1.14648,1.14648,1.14648,1.14648
"2019-01-01 23:00:00",1.14456,1.14674,1.1452,1.14611
"2019-01-02 03:00:00",1.14424,1.14788,1.1478,1.14521
"2019-01-02 07:00:00",1.1422,1.14966,1.1434,1.14779
"2019-01-02 11:00:00",1.13672,1.14416,1.13715,1.14339
"2019-01-02 15:00:00",1.13311,1.13752,1.1335,1.13716
"2019-01-02 19:00:00",1.13249,1.13476,1.13421,1.1335
"2019-01-02 23:00:00",1.13084,1.13525,1.13483,1.13435
"2019-01-03 03:00:00",1.13458,1.13708,1.13608,1.13483
"2019-01-03 07:00:00",1.13539,1.13838,1.13758,1.13608
"2019-01-03 11:00:00",1.13372,1.13793,1.13653,1.13756
"2019-01-03 15:00:00",1.13611,1.14109,1.13985,1.13653
"2019-01-03 19:00:00",1.13824,1.14066,1.1391,1.13985
"2019-01-03 23:00:00",1.13869,1.14116,1.14039,1.13921
"2019-01-04 03:00:00",1.13879,1.14075,1.13897,1.14039
"2019-01-04 07:00:00",1.13832,1.1419,1.14032,1.13897
"2019-01-04 11:00:00",1.13626,1.14154,1.13712,1.14031
"2019-01-04 15:00:00",1.13455,1.14176,1.14051,1.13713
"2019-01-04 19:00:00",1.13933,1.14106,1.13941,1.14052
"2019-01-06 23:00:00",1.1395,1.14229,1.14211,1.13956
"2019-01-07 03:00:00",1.1416,1.14299,1.14231,1.14211
"2019-01-07 07:00:00",1.14099,1.14478,1.14412,1.14232
"2019-01-07 11:00:00",1.1433,1.14587,1.14575,1.14411
"2019-01-07 15:00:00",1.14535,1.14726,1.14686,1.14574
"2019-01-07 19:00:00",1.14675,1.14824,1.14729,1.14687
"2019-01-07 23:00:00",1.14467,1.14845,1.14481,1.14731
"2019-01-08 03:00:00",1.14318,1.14533,1.14436,1.1448
"2019-01-08 07:00:00",1.1433,1.14611,1.14519,1.14435
"2019-01-08 11:00:00",1.14219,1.14692,1.14272,1.14518
"2019-01-08 15:00:00",1.14242,1.14554,1.14542,1.14273
"2019-01-08 19:00:00",1.14358,1.14588,1.14391,1.14543
"2019-01-08 23:00:00",1.1436,1.14659,1.14572,1.14392
"2019-01-09 03:00:00",1.14483,1.14638,1.14606,1.14573
"2019-01-09 07:00:00",1.14539,1.14783,1.14603,1.14605
"2019-01-09 11:00:00",1.14386,1.14643,1.1462,1.14603
"2019-01-09 15:00:00",1.14615,1.15405,1.15324,1.14621
"2019-01-09 19:00:00",1.15284,1.1558,1.15414,1.15325
"2019-01-09 23:00:00",1.15382,1.15606,1.15537,1.15415
"2019-01-10 03:00:00",1.15486,1.15697,1.15604,1.15538
"2019-01-10 07:00:00",1.15194,1.15612,1.15241,1.15603
"2019-01-10 11:00:00",1.15175,1.1545,1.15201,1.1524
"2019-01-10 15:00:00",1.14969,1.15306,1.15056,1.15202
"2019-01-10 19:00:00",1.14844,1.15133,1.14988,1.15057
"2019-01-10 23:00:00",1.14955,1.15223,1.15177,1.14972
"2019-01-11 03:00:00",1.15132,1.15309,1.15253,1.15177
"2019-01-11 07:00:00",1.15163,1.15321,1.15198,1.15252
"2019-01-11 11:00:00",1.15153,1.15404,1.15265,1.15198
"2019-01-11 15:00:00",1.14578,1.15268,1.14823,1.15264
"2019-01-11 19:00:00",1.14579,1.14838,1.14667,1.14822
"2019-01-13 23:00:00",1.1458,1.14772,1.14757,1.1458
"2019-01-14 03:00:00",1.14659,1.14812,1.14783,1.14758
"2019-01-14 07:00:00",1.14541,1.14819,1.14623,1.14784
"2019-01-14 11:00:00",1.14505,1.14734,1.14594,1.14622
"2019-01-14 15:00:00",1.14533,1.14805,1.14767,1.14594
"2019-01-14 19:00:00",1.14632,1.14772,1.14674,1.14766
"2019-01-14 23:00:00",1.14639,1.14896,1.14845,1.14676
"2019-01-15 03:00:00",1.14759,1.14895,1.14829,1.14846
"2019-01-15 07:00:00",1.14231,1.1483,1.14335,1.1483
"2019-01-15 11:00:00",1.1412,1.14438,1.14382,1.14334
"2019-01-15 15:00:00",1.13828,1.14547,1.13896,1.14384
"2019-01-15 19:00:00",1.13817,1.14174,1.14114,1.13895
"2019-01-15 23:00:00",1.13966,1.14143,1.13981,1.1411
"2019-01-16 03:00:00",1.13959,1.14151,1.14115,1.1398
"2019-01-16 07:00:00",1.13913,1.14248,1.14103,1.14116
"2019-01-16 11:00:00",1.13777,1.14114,1.13899,1.14103
"2019-01-16 15:00:00",1.13899,1.14105,1.13994,1.139
"2019-01-16 19:00:00",1.13897,1.14097,1.13909,1.13992
"2019-01-16 23:00:00",1.13907,1.14006,1.13939,1.13908
"2019-01-17 03:00:00",1.13788,1.13964,1.13876,1.1394
"2019-01-17 07:00:00",1.13713,1.14016,1.13934,1.13875
"2019-01-17 11:00:00",1.13825,1.14059,1.13977,1.13933
"2019-01-17 15:00:00",1.13699,1.14007,1.13861,1.13978
"2019-01-17 19:00:00",1.13797,1.14001,1.13872,1.13862
"2019-01-17 23:00:00",1.13855,1.13996,1.1395,1.13873
"2019-01-18 03:00:00",1.13868,1.13969,1.13891,1.13949
"2019-01-18 07:00:00",1.1388,1.14007,1.13978,1.13889
"2019-01-18 11:00:00",1.13963,1.141,1.13973,1.13979
"2019-01-18 15:00:00",1.1353,1.14006,1.13579,1.13975
"2019-01-18 19:00:00",1.13576,1.1372,1.13632,1.13581
"2019-01-20 23:00:00",1.13599,1.13773,1.13761,1.13602
"2019-01-21 03:00:00",1.1373,1.13802,1.13777,1.13762
"2019-01-21 07:00:00",1.13657,1.13912,1.1371,1.13777
"2019-01-21 11:00:00",1.13567,1.13801,1.13609,1.1371
"2019-01-21 15:00:00",1.1357,1.13709,1.13679,1.13608
"2019-01-21 19:00:00",1.13633,1.13713,1.13635,1.13677
"2019-01-21 23:00:00",1.13634,1.13728,1.13696,1.13634
"2019-01-22 03:00:00",1.13555,1.13709,1.13573,1.13697
"2019-01-22 07:00:00",1.13458,1.13648,1.13606,1.13572
"2019-01-22 11:00:00",1.13449,1.13669,1.13454,1.13606
"2019-01-22 15:00:00",1.13358,1.13712,1.1369,1.13455
"2019-01-22 19:00:00",1.13519,1.13737,1.13591,1.13689
"2019-01-22 23:00:00",1.13588,1.13675,1.13652,1.1359
"2019-01-23 03:00:00",1.13626,1.13686,1.1368,1.13652
"2019-01-23 07:00:00",1.13531,1.13719,1.13557,1.13681
"2019-01-23 11:00:00",1.13505,1.13698,1.13543,1.13556
